S/No.,REGION,COUNTY,SUB,UIC,KNEC,SCHOOL NAME,CLUSTER,TYPE,(Regular/,DISABILITY,ACCOMODATI,GENDER
159,RIFT VALLEY,BOMET,CBEONMTERTA L,37YN,25508121,KIPLELJI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
160,RIFT VALLEY,BOMET,BCEONMTERTA L,PVV6,25508131,KIPLOKYI MIXED,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
161,RIFT VALLEY,BOMET,CBEONMTERTA L,CSVY,25508165,KITAIMA SECONDARY,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
162,RIFT VALLEY,BOMET,CBEONMTERTA L,GU5G,25508120,KITOBEN SEONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
163,RIFT VALLEY,BOMET,CBEONMTERTA L,Z263,25508133,KWENIKABILET MIXED DAY,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
164,RIFT VALLEY,BOMET,CBEONMTERTA L,YDBV,25508158,LELDAET SEC.SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
165,RIFT VALLEY,BOMET,BCEONMTERTA L,6K6Q,25508126,MAASET SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
166,RIFT VALLEY,BOMET,CBEONMTERTA L,SM9Q,25508161,MANYATTA MIXED DAY,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
167,RIFT VALLEY,BOMET,BCEONMTERTA L,XB5V,25508163,MOGINDO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
168,RIFT VALLEY,BOMET,BOMET,87D5,25508107,MOGOIYWET 'B' SEC.,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
169,RIFT VALLEY,BOMET,BCEONMTERTA L,567S,25508154,MOLINGA SEC,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
170,RIFT VALLEY,BOMET,BCEONMTERTA L,7VLL,25508143,MORIT SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
171,RIFT VALLEY,BOMET,BCEONMTERTA L,758W,25508119,MOTIGO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
172,RIFT VALLEY,BOMET,BCEONMTERTA L,8AMG,25508137,MUGANGO GIRLS SEC,C4,PUBLIC,REGULAR,NONE,DAY,GIRLS
173,RIFT VALLEY,BOMET,CBEONMTERTA L,MMZ4,255508149,MUIYWEK SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
174,RIFT VALLEY,BOMET,BCEONMTERTA L,SW5L,25508139,NDARAWETTA MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
175,RIFT VALLEY,BOMET,CBEONMTERTA L,CZBB,25508117,NJERIAN SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
176,RIFT VALLEY,BOMET,BCEONMTERTA L,NFX8,25508152,NJORWET MEXID SEC.SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
177,RIFT VALLEY,BOMET,BCEONMTERTA L,8RBR,25505124,NYONGORES SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
178,RIFT VALLEY,BOMET,CBEONMTERTA L,GL3J,25508156,OLDABACH SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
179,RIFT VALLEY,BOMET,BCEONMTERTA L,AP7E,25508151,SACHANGWAN SEC,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
180,RIFT VALLEY,BOMET,BCEONMTERTA L,6QTQ,25505160,SALAIK SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
181,RIFT VALLEY,BOMET,CBEONMTERTA L,VBY6,25508146,SIBAIYAN SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
182,RIFT VALLEY,BOMET,CBEONMTERTA L,Q37Q,25508129,SINGORWET SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
183,RIFT VALLEY,BOMET,BCEONMTERTA L,9TK3,25508157,SOLYOT SECONDARY,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
184,RIFT VALLEY,BOMET,CBEONMTERTA L,QEZW,25508159,TAABET SEC.SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
185,RIFT VALLEY,BOMET,CBEONMTERTA L,L99H,25508148,TARAKWA HIGH SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
186,RIFT VALLEY,BOMET,CBEONMTERTA L,ZMKX,25508136,TEGANDA DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
187,RIFT VALLEY,BOMET,CBEONMTERTA L,7TST,25508162,TIRGAGA MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
188,RIFT VALLEY,BOMET,CBEONMTERTA L,QAQQ,25583105,BUKACHA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
189,RIFT VALLEY,BOMET,EBAOSMTET,FMUS,25583136,BUKUNYE DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
190,RIFT VALLEY,BOMET,EBAOSMTET,C6Y6,25583124,CHEBOIN SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
191,RIFT VALLEY,BOMET,BEAOSMTET,UKGD,25583146,CHELEMEI GIRLS SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,GIRLS
192,RIFT VALLEY,BOMET,EBAOSMTET,W8JV,25583112,CHEMANER SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
193,RIFT VALLEY,BOMET,EBAOSMTET,KCNL,25583115,CHEPKITWAL SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
194,RIFT VALLEY,BOMET,EBAOSMTET,XWS5,25583106,CHEPKOLON MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
195,RIFT VALLEY,BOMET,EBAOSMTET,RFBY,25583128,EMITIOT SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
196,RIFT VALLEY,BOMET,EBAOSMTET,FX6S,25583127,KAKIMIRAI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
197,RIFT VALLEY,BOMET,EBAOSMTET,692H,25583135,KALYET MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
198,RIFT VALLEY,BOMET,EBAOSMTET,6JEK,25583111,KAPORUSO HIGH SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
199,RIFT VALLEY,BOMET,EBAOSMTET,VYCS,25583104,KAPSIMBIRI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
200,RIFT VALLEY,BOMET,EBAOSMTET,Q9SF,25583144,KEMBU SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
201,RIFT VALLEY,BOMET,EBAOSMTET,C6XE,25583114,KIMUCHUL SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
202,RIFT VALLEY,BOMET,EBAOSMTET,XBFG,25583147,KIPKURION MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
203,RIFT VALLEY,BOMET,EBAOSMTET,M6YP,25583121,KIPLABOTWA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
204,RIFT VALLEY,BOMET,EBAOSMTET,L92K,25583113,KIPRERES SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
205,RIFT VALLEY,BOMET,EBAOSMTET,5BZL,25583120,KIPTOBIT SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
206,RIFT VALLEY,BOMET,EBAOSMTET,2W3Y,25583130,KIPTULWA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
207,RIFT VALLEY,BOMET,EBAOSMTET,FYPT,25583116,KIPYOSIT SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
208,RIFT VALLEY,BOMET,EBAOSMTET,UC8J,25583102,KIROMWOK SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
209,RIFT VALLEY,BOMET,BEAOSMTET,4QRF,25583141,KOITA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
210,RIFT VALLEY,BOMET,EBAOSMTET,2QXW,25583110,KONG'OTIK GIRLS HIGH SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,GIRLS
211,RIFT VALLEY,BOMET,EBAOSMTET,5WUD,25583140,KORARA SECONDARY SCHOOL,C4,PUBLIC,INTERGRATE,VI,DAY,Mixed
212,RIFT VALLEY,BOMET,EBAOSMTET,7DER,25583132,LEKIMBO SECONDARY SCHOOL,C4,PUBLIC,RDEGULAR,NONE,DAY,Mixed
213,RIFT VALLEY,BOMET,EBAOSMTET,5ZA4,25583131,LELKATET SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
214,RIFT VALLEY,BOMET,EBAOSMTET,GKUS,25583133,LONGISA MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
215,RIFT VALLEY,BOMET,EBAOSMTET,T98M,25583148,MANGOITA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
216,RIFT VALLEY,BOMET,EBAOSMTET,5BLB,25583103,MENET SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
217,RIFT VALLEY,BOMET,BEAOSMTET,YXTU,25583101,MERIGI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
218,RIFT VALLEY,BOMET,BEAOSMTET,Q9RE,25583138,MOGITUI MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
219,RIFT VALLEY,BOMET,EBAOSMTET,GEDE,25583117,MOGOMA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
220,RIFT VALLEY,BOMET,BEAOSMTET,XPGP,25583109,MULOT BOYS HIGH SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,BOYS
221,RIFT VALLEY,BOMET,BEAOSMTET,CLWL,25583143,NDUBAI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
222,RIFT VALLEY,BOMET,EBAOSMTET,M59Y,25583139,NORERA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
223,RIFT VALLEY,BOMET,BEAOSMTET,8SJ2,25583123,OLBOBO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
224,RIFT VALLEY,BOMET,BOMET,RHXQ,25583142,SAOSET SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
225,RIFT VALLEY,BOMET,EBAOSMTET,5QFJ,25583129,SIGOWET DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
226,RIFT VALLEY,BOMET,EBAOSMTET,BDZS,25583119,SIWOT SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
227,RIFT VALLEY,BOMET,EBAOSMTET,9HCE,25583125,ST.BENEDICT'S KAPKIMOLWO,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
228,RIFT VALLEY,BOMET,EBAOSMTET,UPP3,25583134,TORONIK MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
229,RIFT VALLEY,BOMET,EBAOSMTET,YVA4,25583107,TUMOIYOT SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
230,RIFT VALLEY,BOMET,ECAHSETPALUN,8AEH,25551218,BINGWA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
231,RIFT VALLEY,BOMET,CGHUEPALUN,YA2K,25551216,CHEBANYINY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
232,RIFT VALLEY,BOMET,CGHUEPALUN,W2GJ,25551126,CHEBARAA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
233,RIFT VALLEY,BOMET,GCHUEPALUN,4SU7,25551133,CHEBELION MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
234,RIFT VALLEY,BOMET,CGHUEPALUN,GL84,25551234,CHEBOYO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
235,RIFT VALLEY,BOMET,CGHUEPALUN,S2Z4,25551236,CHELELACH HIGH SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
236,RIFT VALLEY,BOMET,CGHUEPALUN,58RA,25551228,CHEMAETANY DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
237,RIFT VALLEY,BOMET,CGHUEPALUN,W4E4,25551123,CHEMENGWA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
238,RIFT VALLEY,BOMET,GCHUEPALUN,WWMH,25551104,CHEPKOSA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
239,RIFT VALLEY,BOMET,CGHUEPALUN,7GEK,25551219,CHEPNYALILIET SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
240,RIFT VALLEY,BOMET,GCHUEPALUN,NZ4C,25551211,CHEPWOSTUIYET SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
241,RIFT VALLEY,BOMET,CGHUEPALUN,RWDP,25551115,GOITABSILIBWET SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
242,RIFT VALLEY,BOMET,GCHUEPALUN,2GGT,25551233,ITEMBE SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
243,RIFT VALLEY,BOMET,GCHUEPALUN,858W,25551244,KABEMA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
244,RIFT VALLEY,BOMET,CGHUEPALUN,XF6A,25551241,KABISIMBA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
245,RIFT VALLEY,BOMET,GCHUEPALUN,UYTP,25551229,KABISOGE SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
246,RIFT VALLEY,BOMET,CGHUEPALUN,F2XE,25551119,KABOLWO MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
247,RIFT VALLEY,BOMET,GCHUEPALUN,GBM7,25551109,KABOSON DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
248,RIFT VALLEY,BOMET,GCHUEPALUN,F3ZN,25551214,KAMAGET MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
249,RIFT VALLEY,BOMET,CGHUEPALUN,43DF,25551239,KAMOGIBOI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
250,RIFT VALLEY,BOMET,CGHUEPALUN,HAR6,25551112,KAMONGIL MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
251,RIFT VALLEY,BOMET,CGHUEPALUN,RKJ9,25551249,KAMUSANGA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
252,RIFT VALLEY,BOMET,CGHUEPALUN,LR4H,25551136,KAPCHELEL SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
253,RIFT VALLEY,BOMET,GCHUEPALUN,3Z73,25551103,KAPKESOSIO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
254,RIFT VALLEY,BOMET,CGHUEPALUN,99EL,25551108,KAPKULUMBEN SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
255,RIFT VALLEY,BOMET,CGHUEPALUN,UHET,25551202,KAPOLESEROI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
256,RIFT VALLEY,BOMET,CGHUEPALUN,7N2M,25551129,KAPSABUL MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
257,RIFT VALLEY,BOMET,CGHUEPALUN,2HAA,25551243,KAPSINENDET CENTRAL SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
258,RIFT VALLEY,BOMET,GCHUEPALUN,MC34,25551247,KAPTWOLO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
259,RIFT VALLEY,BOMET,CGHUEPALUN,98DS,25551222,KATARET SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
260,RIFT VALLEY,BOMET,CGHUEPALUN,CJMJ,25551248,KELICHEK SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
261,RIFT VALLEY,BOMET,CGHUEPALUN,ASBL,25551128,KERUNDUT MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
262,RIFT VALLEY,BOMET,CGHUEPALUN,CLNG,25551245,KIBOSON SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
263,RIFT VALLEY,BOMET,GCHUEPALUN,X3QS,25551242,KIMATISIO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
264,RIFT VALLEY,BOMET,CGHUEPALUN,WUUZ,25551232,KIMAYA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
265,RIFT VALLEY,BOMET,CGHUEPALUN,VN53,25551131,KIMENDERIT SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
266,RIFT VALLEY,BOMET,GCHUEPALUN,7QRB,25551110,KIPKEIGEI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
267,RIFT VALLEY,BOMET,GCHUEPALUN,ZK5S,25551230,KIPKUROR DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
268,RIFT VALLEY,BOMET,GCHUEPALUN,Z8P5,25551134,KIPRICHEIT HIGH SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
269,RIFT VALLEY,BOMET,CGHUEPALUN,4MML,25551215,KIPROROGET SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
270,RIFT VALLEY,BOMET,GCHUEPALUN,ADCE,25551235,KIPSUTER MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
271,RIFT VALLEY,BOMET,CGHUEPALUN,LJJD,25551213,ACK MARY MAGDALENE HIGH SCHOOL FOR THE DEAF,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
272,RIFT VALLEY,BOMET,GCHUEPALUN,V6LX,25551224,KOIMIRET SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
273,RIFT VALLEY,BOMET,GCHUEPALUN,93DB,25551130,KOIYET MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
274,RIFT VALLEY,BOMET,GCHUEPALUN,53KF,25551139,KYOGONG GIRLS SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,GIRLS
275,RIFT VALLEY,BOMET,CGHUEPALUN,7HMX,25551114,KYOGONG SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
276,RIFT VALLEY,BOMET,CGHUEPALUN,T9US,25551111,LELAITICH SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
277,RIFT VALLEY,BOMET,CGHUEPALUN,K2F9,25551106,LUGUMEK SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
278,RIFT VALLEY,BOMET,CGHUEPALUN,P7JN,25551217,MASINDONI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
279,RIFT VALLEY,BOMET,GCHUEPALUN,HN2C,25551208,MENGWET SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
280,RIFT VALLEY,BOMET,CHEPALUN,WQ73,25551240,MUKENYI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
281,RIFT VALLEY,BOMET,GCHUEPALUN,VUJT,25551220,NDAMICHONIK SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
282,RIFT VALLEY,BOMET,GCHUEPALUN,S6HJ,25551132,NOGIRWET DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
283,RIFT VALLEY,BOMET,GCHUEPALUN,A9DY,25551137,NYAKICHIWA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
284,RIFT VALLEY,BOMET,CGHUEPALUN,8ERY,25551118,OLESOI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
285,RIFT VALLEY,BOMET,GCHUEPALUN,6W4W,25551124,OREIYET SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
286,RIFT VALLEY,BOMET,GCHUEPALUN,62RA,25551231,ROBORWO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
287,RIFT VALLEY,BOMET,CGHUEPALUN,V7YE,25551135,SAMOEI NGWONET GIRLS SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,GIRLS
288,RIFT VALLEY,BOMET,CGHUEPALUN,4Z5N,25551225,SAUNET SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
289,RIFT VALLEY,BOMET,CGHUEPALUN,XWRR,25551138,SIGOR MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
290,RIFT VALLEY,BOMET,CGHUEPALUN,BNAX,25551226,SIONGIROI DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
291,RIFT VALLEY,BOMET,CGHUEPALUN,43EX,25551246,SOGORORBEI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
292,RIFT VALLEY,BOMET,GCHUEPALUN,2BHR,25551227,ST. THOMAS REBERWET SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
293,RIFT VALLEY,BOMET,GCHUEPALUN,HNGJ,25551113,ST.MICHAEL'S SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
294,RIFT VALLEY,BOMET,CGHUEPALUN,P252,25551105,SUGUMERGA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
295,RIFT VALLEY,BOMET,GCHUEPALUN,9D6W,25551125,TEBESWET SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
296,RIFT VALLEY,BOMET,GCHUEPALUN,XP3T,25551238,TILANGOK SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
297,RIFT VALLEY,BOMET,CGHUEPALUN,65K9,25551107,TUMOI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
298,RIFT VALLEY,BOMET,KGUONOIN,RVK9,25563125,BOITO DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
299,RIFT VALLEY,BOMET,KONOIN,VWEV,25563212,BOSTO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
300,RIFT VALLEY,BOMET,KONOIN,5HB4,25563310,CHEBANG'ANG' SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
301,RIFT VALLEY,BOMET,KONOIN,26M2,25563305,CHEMALAL SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
302,RIFT VALLEY,BOMET,KONOIN,67JD,25563314,CHEMASINGI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
303,RIFT VALLEY,BOMET,KONOIN,7NA5,25563124,CHEMELET SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
304,RIFT VALLEY,BOMET,KONOIN,9X4B,25563306,CHEPCHABAS SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
305,RIFT VALLEY,BOMET,KONOIN,UD7N,25563116,CHEPKOCHUN SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
306,RIFT VALLEY,BOMET,KONOIN,XP6N,25563107,CHEPTABACH SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
307,RIFT VALLEY,BOMET,KONOIN,HQFM,25563120,CHEPTINGTING SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
308,RIFT VALLEY,BOMET,KONOIN,MN4C,25563119,CHONGENWO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
309,RIFT VALLEY,BOMET,KONOIN,A6FF,25563204,EMBOMOS SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
310,RIFT VALLEY,BOMET,KONOIN,DUJ4,25563115,KABIANGEK MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
311,RIFT VALLEY,BOMET,KONOIN,3V3L,25563128,KAPCHEPKOLE SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
312,RIFT VALLEY,BOMET,KONOIN,TGVS,25563307,KAPKILAIBEI MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
313,RIFT VALLEY,BOMET,KONOIN,WC65,25563123,KAPRORET SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
314,RIFT VALLEY,BOMET,KONOIN,FFU9,25563308,KAPSET MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
315,RIFT VALLEY,BOMET,KONOIN,G8CW,25563114,KAPTEMBWO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
316,RIFT VALLEY,BOMET,KONOIN,P645,25563304,KAPTIEN SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
317,RIFT VALLEY,BOMET,KONOIN,FGDF,25563121,KEBUMBUR SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
318,RIFT VALLEY,BOMET,KONOIN,JMZM,25563127,KENYAGORO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
319,RIFT VALLEY,BOMET,KONOIN,QDWG,25563122,KIPRAISI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
320,RIFT VALLEY,BOMET,KONOIN,R8PF,25563103,KIPTENDEN SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
321,RIFT VALLEY,BOMET,KONOIN,46TQ,25563207,KIRIMOSE SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
322,RIFT VALLEY,BOMET,KONOIN,6B6B,25563211,KITALA MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
